uid,walletx2,max_priv_intermediary,max_priv_gov,max_priv_public,banklike,ir_studyr,male,topcoder,expectpricedown,open_source_browser,am_privacy_peers,am_privacy_int,am_privacy_gov,trust_gov,trust_startup,trust_retailer,es_pub,es_int,es_gov,rpgpextra,sb_cashing_out_btc_05,rmatrix,fw_notracePEERS,fw_notraceISP,fw_notraceGOV,wallet_order,first_wallet,rblockchain1,relectrum1,rcoinbase1,rcircle1,rblockchain2,relectrum2,rcoinbase2,rcircle2,rblockchain3,relectrum3,rcoinbase3,rcircle3,rblockchain4,relectrum4,rcoinbase4,rcircle4,best_priv_public_n1st,best_priv_int_n1st,best_priv_gov_n1st
0,Circle,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,5,2,2,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
1,Coinbase,0,0,1,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,4,2,1,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
2,Coinbase,0,0,1,1,2,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,3,2,5,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
3,Circle,0,0,1,1,3,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,3,5,1,['Circle' 'Electrum' 'Coinbase' 'Blockchain'],Circle,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
4,Coinbase,0,0,1,1,4,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,5,3,3,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
5,Electrum,1,1,0,0,3,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,3,5,2,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
6,Blockchain,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,5,2,1,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
7,Circle,0,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,5,4,5,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
8,Coinbase,0,0,1,1,4,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,3,3,2,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
9,Electrum,1,1,0,0,3,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,3,4,4,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
10,Circle,0,0,1,1,3,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,2,4,4,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
11,Electrum,1,1,0,0,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,4,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
12,Blockchain,1,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,5,4,2,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
13,Blockchain,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,3,4,2,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
14,Electrum,1,1,0,0,4,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,5,2,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
15,Blockchain,1,0,0,0,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,4,5,4,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
16,Blockchain,1,0,0,0,2,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,3,1,1,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
17,Blockchain,1,0,0,0,2,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,3,3,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
18,Blockchain,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,5,1,['Coinbase' 'Circle' 'Electrum' 'Blockchain'],Coinbase,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
19,Coinbase,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,5,2,2,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
20,Circle,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,3,3,4,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
21,Blockchain,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,4,5,3,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
22,Blockchain,1,0,0,0,4,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,4,2,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
23,Coinbase,0,0,1,1,4,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,2,['Coinbase' 'Electrum' 'Blockchain' 'Circle'],Coinbase,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
24,Circle,0,0,1,1,2,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,4,4,1,['Electrum' 'Circle' 'Blockchain' 'Coinbase'],Electrum,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
25,Coinbase,0,0,1,1,2,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,2,1,3,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
26,Electrum,1,1,0,0,4,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,3,3,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
27,Circle,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,3,5,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
28,Circle,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5,3,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
29,Blockchain,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,3,2,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
30,Blockchain,1,0,0,0,4,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,2,3,1,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
31,Blockchain,1,0,0,0,3,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,3,3,2,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
